INSTID,UKPRN,"Region 
of provider",HE provider ,"Unit of 
assessment number",Unit of assessment name,"Multiple 
submission letter","Scaled FTE 
of eligible staff"
47,10000291,EAST,Anglia Ruskin University,1,Clinical Medicine,Z,2
47,10000291,EAST,Anglia Ruskin University,2,"Public Health, Health Services and Primary Care",Z,21
47,10000291,EAST,Anglia Ruskin University,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",Z,122
47,10000291,EAST,Anglia Ruskin University,4,"Psychology, Psychiatry and Neuroscience",Z,24
47,10000291,EAST,Anglia Ruskin University,5,Biological Sciences,Z,27
47,10000291,EAST,Anglia Ruskin University,6,"Agriculture, Veterinary and Food Science",Z,3
47,10000291,EAST,Anglia Ruskin University,7,Earth Systems and Environmental Sciences,Z,1
47,10000291,EAST,Anglia Ruskin University,8,Chemistry,Z,2
47,10000291,EAST,Anglia Ruskin University,10,Mathematical Sciences,Z,1
47,10000291,EAST,Anglia Ruskin University,11,Computer Science and Informatics,Z,18
47,10000291,EAST,Anglia Ruskin University,12,"Aeronautical, Mechanical, Chemical and Manufacturing Engineering",Z,1
47,10000291,EAST,Anglia Ruskin University,13,"Electrical and Electronic Engineering, Metallurgy and Materials",Z,10
47,10000291,EAST,Anglia Ruskin University,14,Civil and Construction engineering,Z,8
47,10000291,EAST,Anglia Ruskin University,15,General Engineering,Z,10
47,10000291,EAST,Anglia Ruskin University,16,"Architecture, Built Environment and Planning",Z,23
47,10000291,EAST,Anglia Ruskin University,17,"Geography, Environmental Studies and Archaeology",Z,19
47,10000291,EAST,Anglia Ruskin University,18,Economics and Econometrics,Z,4
47,10000291,EAST,Anglia Ruskin University,19,Business and Management Studies,Z,89
47,10000291,EAST,Anglia Ruskin University,20,Law,Z,21
47,10000291,EAST,Anglia Ruskin University,21,Politics and International Studies,Z,1
47,10000291,EAST,Anglia Ruskin University,22,Social Work and Social Policy,Z,37
47,10000291,EAST,Anglia Ruskin University,23,Sociology,Z,10
47,10000291,EAST,Anglia Ruskin University,25,Education,Z,54
47,10000291,EAST,Anglia Ruskin University,26,"Sport and Exercise Sciences, Leisure and Tourism",Z,16
47,10000291,EAST,Anglia Ruskin University,28,Modern Languages and Linguistics,Z,6
47,10000291,EAST,Anglia Ruskin University,29,English Language and Literature,Z,21
47,10000291,EAST,Anglia Ruskin University,30,History,Z,6
47,10000291,EAST,Anglia Ruskin University,32,Philosophy,Z,4
47,10000291,EAST,Anglia Ruskin University,33,Theology and Religious Studies,Z,1
47,10000291,EAST,Anglia Ruskin University,34,"Art and Design: History, Practice and Theory",Z,30
47,10000291,EAST,Anglia Ruskin University,35,"Music, Drama, Dance and Performing Arts",Z,19
47,10000291,EAST,Anglia Ruskin University,36,"Communication, Cultural and Media Studies, Library and Information Management",Z,9
108,10007759,WMID,Aston University†,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",Z,89
108,10007759,WMID,Aston University†,11,Computer Science and Informatics,Z,26
108,10007759,WMID,Aston University†,13,"Electrical and Electronic Engineering, Metallurgy and Materials",Z,32
108,10007759,WMID,Aston University†,15,General Engineering,Z,39
108,10007759,WMID,Aston University†,19,Business and Management Studies,Z,108
108,10007759,WMID,Aston University†,23,Sociology,Z,7
108,10007759,WMID,Aston University†,27,Area Studies,Z,14
108,10007759,WMID,Aston University†,28,Modern Languages and Linguistics,Z,29
108,10007759,WMID,Aston University†,N/A,UoA not recorded,Not recorded,115
48,10000571,SWES,Bath Spa University,4,"Psychology, Psychiatry and Neuroscience",Z,14
48,10000571,SWES,Bath Spa University,5,Biological Sciences,Z,8
48,10000571,SWES,Bath Spa University,17,"Geography, Environmental Studies and Archaeology",Z,11
48,10000571,SWES,Bath Spa University,19,Business and Management Studies,Z,16
48,10000571,SWES,Bath Spa University,23,Sociology,Z,4
48,10000571,SWES,Bath Spa University,25,Education,Z,61
48,10000571,SWES,Bath Spa University,29,English Language and Literature,Z,29
48,10000571,SWES,Bath Spa University,30,History,Z,10
48,10000571,SWES,Bath Spa University,33,Theology and Religious Studies,Z,3
48,10000571,SWES,Bath Spa University,34,"Art and Design: History, Practice and Theory",Z,35
48,10000571,SWES,Bath Spa University,35,"Music, Drama, Dance and Performing Arts",Z,41
48,10000571,SWES,Bath Spa University,36,"Communication, Cultural and Media Studies, Library and Information Management",Z,16
109,10007850,SWES,The University of Bath,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",Z,62
109,10007850,SWES,The University of Bath,4,"Psychology, Psychiatry and Neuroscience",Z,13
109,10007850,SWES,The University of Bath,5,Biological Sciences,Z,34
109,10007850,SWES,The University of Bath,8,Chemistry,Z,38
109,10007850,SWES,The University of Bath,9,Physics,Z,27
109,10007850,SWES,The University of Bath,10,Mathematical Sciences,Z,58
109,10007850,SWES,The University of Bath,11,Computer Science and Informatics,Z,25
109,10007850,SWES,The University of Bath,12,"Aeronautical, Mechanical, Chemical and Manufacturing Engineering",Z,69
109,10007850,SWES,The University of Bath,13,"Electrical and Electronic Engineering, Metallurgy and Materials",Z,28
109,10007850,SWES,The University of Bath,16,"Architecture, Built Environment and Planning",Z,34
109,10007850,SWES,The University of Bath,18,Economics and Econometrics,Z,25
109,10007850,SWES,The University of Bath,19,Business and Management Studies,Z,86
109,10007850,SWES,The University of Bath,22,Social Work and Social Policy,Z,47
109,10007850,SWES,The University of Bath,25,Education,Z,18
109,10007850,SWES,The University of Bath,26,"Sport and Exercise Sciences, Leisure and Tourism",Z,25
109,10007850,SWES,The University of Bath,27,Area Studies,Z,36
26,10007152,EAST,University of Bedfordshire,2,"Public Health, Health Services and Primary Care",Z,64
26,10007152,EAST,University of Bedfordshire,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",Z,40
26,10007152,EAST,University of Bedfordshire,4,"Psychology, Psychiatry and Neuroscience",Z,30
26,10007152,EAST,University of Bedfordshire,5,Biological Sciences,Z,6
26,10007152,EAST,University of Bedfordshire,7,Earth Systems and Environmental Sciences,Z,5
26,10007152,EAST,University of Bedfordshire,11,Computer Science and Informatics,Z,61
26,10007152,EAST,University of Bedfordshire,16,"Architecture, Built Environment and Planning",Z,1
26,10007152,EAST,University of Bedfordshire,18,Economics and Econometrics,Z,3
26,10007152,EAST,University of Bedfordshire,19,Business and Management Studies,Z,76
26,10007152,EAST,University of Bedfordshire,20,Law,Z,12
26,10007152,EAST,University of Bedfordshire,22,Social Work and Social Policy,Z,40
26,10007152,EAST,University of Bedfordshire,23,Sociology,Z,29
26,10007152,EAST,University of Bedfordshire,25,Education,Z,56
26,10007152,EAST,University of Bedfordshire,26,"Sport and Exercise Sciences, Leisure and Tourism",Z,57
26,10007152,EAST,University of Bedfordshire,28,Modern Languages and Linguistics,Z,8
26,10007152,EAST,University of Bedfordshire,29,English Language and Literature,Z,11
26,10007152,EAST,University of Bedfordshire,34,"Art and Design: History, Practice and Theory",Z,18
26,10007152,EAST,University of Bedfordshire,35,"Music, Drama, Dance and Performing Arts",Z,17
26,10007152,EAST,University of Bedfordshire,36,"Communication, Cultural and Media Studies, Library and Information Management",Z,34
127,10007760,LOND,Birkbeck College,4,"Psychology, Psychiatry and Neuroscience",Z,33
127,10007760,LOND,Birkbeck College,5,Biological Sciences,Z,30
127,10007760,LOND,Birkbeck College,7,Earth Systems and Environmental Sciences,Z,11
127,10007760,LOND,Birkbeck College,11,Computer Science and Informatics,Z,24
127,10007760,LOND,Birkbeck College,17,"Geography, Environmental Studies and Archaeology",Z,7
127,10007760,LOND,Birkbeck College,18,Economics and Econometrics,Z,32
127,10007760,LOND,Birkbeck College,19,Business and Management Studies,Z,43
127,10007760,LOND,Birkbeck College,20,Law,Z,29
127,10007760,LOND,Birkbeck College,21,Politics and International Studies,Z,18
127,10007760,LOND,Birkbeck College,23,Sociology,Z,29
127,10007760,LOND,Birkbeck College,25,Education,Z,3
127,10007760,LOND,Birkbeck College,28,Modern Languages and Linguistics,Z,29
127,10007760,LOND,Birkbeck College,29,English Language and Literature,Z,37
127,10007760,LOND,Birkbeck College,30,History,Z,38
127,10007760,LOND,Birkbeck College,32,Philosophy,Z,15
127,10007760,LOND,Birkbeck College,34,"Art and Design: History, Practice and Theory",Z,25
127,10007760,LOND,Birkbeck College,36,"Communication, Cultural and Media Studies, Library and Information Management",Z,1
52,10007140,WMID,Birmingham City University,2,"Public Health, Health Services and Primary Care",Z,10
52,10007140,WMID,Birmingham City University,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",Z,196
52,10007140,WMID,Birmingham City University,4,"Psychology, Psychiatry and Neuroscience",Z,16
52,10007140,WMID,Birmingham City University,11,Computer Science and Informatics,Z,25
52,10007140,WMID,Birmingham City University,12,"Aeronautical, Mechanical, Chemical and Manufacturing Engineering",Z,25
52,10007140,WMID,Birmingham City University,13,"Electrical and Electronic Engineering, Metallurgy and Materials",Z,26
52,10007140,WMID,Birmingham City University,15,General Engineering,Z,36
52,10007140,WMID,Birmingham City University,16,"Architecture, Built Environment and Planning",Z,42
52,10007140,WMID,Birmingham City University,19,Business and Management Studies,Z,88
52,10007140,WMID,Birmingham City University,20,Law,Z,26
52,10007140,WMID,Birmingham City University,22,Social Work and Social Policy,Z,19
52,10007140,WMID,Birmingham City University,23,Sociology,Z,14
52,10007140,WMID,Birmingham City University,25,Education,Z,84
52,10007140,WMID,Birmingham City University,29,English Language and Literature,Z,17
52,10007140,WMID,Birmingham City University,34,"Art and Design: History, Practice and Theory",Z,135
52,10007140,WMID,Birmingham City University,35,"Music, Drama, Dance and Performing Arts",Z,54
52,10007140,WMID,Birmingham City University,36,"Communication, Cultural and Media Studies, Library and Information Management",Z,53
110,10006840,WMID,The University of Birmingham,1,Clinical Medicine,Z,233
110,10006840,WMID,The University of Birmingham,2,"Public Health, Health Services and Primary Care",Z,58
110,10006840,WMID,The University of Birmingham,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",Z,44
110,10006840,WMID,The University of Birmingham,4,"Psychology, Psychiatry and Neuroscience",Z,47
110,10006840,WMID,The University of Birmingham,5,Biological Sciences,Z,58
110,10006840,WMID,The University of Birmingham,7,Earth Systems and Environmental Sciences,Z,29
110,10006840,WMID,The University of Birmingham,8,Chemistry,Z,28
110,10006840,WMID,The University of Birmingham,9,Physics,Z,50
110,10006840,WMID,The University of Birmingham,10,Mathematical Sciences,Z,43
110,10006840,WMID,The University of Birmingham,11,Computer Science and Informatics,Z,42
110,10006840,WMID,The University of Birmingham,12,"Aeronautical, Mechanical, Chemical and Manufacturing Engineering",A,21
110,10006840,WMID,The University of Birmingham,12,"Aeronautical, Mechanical, Chemical and Manufacturing Engineering",B,32
110,10006840,WMID,The University of Birmingham,13,"Electrical and Electronic Engineering, Metallurgy and Materials",A,31
110,10006840,WMID,The University of Birmingham,13,"Electrical and Electronic Engineering, Metallurgy and Materials",B,29
110,10006840,WMID,The University of Birmingham,14,Civil and Construction engineering,Z,22
110,10006840,WMID,The University of Birmingham,15,General Engineering,Z,5
110,10006840,WMID,The University of Birmingham,17,"Geography, Environmental Studies and Archaeology",Z,27
110,10006840,WMID,The University of Birmingham,18,Economics and Econometrics,Z,27
110,10006840,WMID,The University of Birmingham,19,Business and Management Studies,Z,67
110,10006840,WMID,The University of Birmingham,20,Law,Z,41
110,10006840,WMID,The University of Birmingham,21,Politics and International Studies,Z,56
110,10006840,WMID,The University of Birmingham,22,Social Work and Social Policy,Z,35
110,10006840,WMID,The University of Birmingham,23,Sociology,Z,1
110,10006840,WMID,The University of Birmingham,24,Anthropology and Development Studies,Z,1
110,10006840,WMID,The University of Birmingham,25,Education,Z,34
110,10006840,WMID,The University of Birmingham,26,"Sport and Exercise Sciences, Leisure and Tourism",Z,36
110,10006840,WMID,The University of Birmingham,27,Area Studies,Z,9
110,10006840,WMID,The University of Birmingham,28,Modern Languages and Linguistics,Z,35
110,10006840,WMID,The University of Birmingham,29,English Language and Literature,Z,52
110,10006840,WMID,The University of Birmingham,30,History,Z,45
110,10006840,WMID,The University of Birmingham,31,Classics,Z,26
110,10006840,WMID,The University of Birmingham,32,Philosophy,Z,16
110,10006840,WMID,The University of Birmingham,33,Theology and Religious Studies,Z,15
110,10006840,WMID,The University of Birmingham,34,"Art and Design: History, Practice and Theory",Z,7
110,10006840,WMID,The University of Birmingham,35,"Music, Drama, Dance and Performing Arts",A,11
110,10006840,WMID,The University of Birmingham,35,"Music, Drama, Dance and Performing Arts",B,7
7,10007811,EMID,Bishop Grosseteste University,25,Education,Z,56
7,10007811,EMID,Bishop Grosseteste University,29,English Language and Literature,Z,4
7,10007811,EMID,Bishop Grosseteste University,30,History,Z,4
7,10007811,EMID,Bishop Grosseteste University,34,"Art and Design: History, Practice and Theory",Z,1
49,10006841,NWES,The University of Bolton,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",Z,17
49,10006841,NWES,The University of Bolton,4,"Psychology, Psychiatry and Neuroscience",Z,16
49,10006841,NWES,The University of Bolton,5,Biological Sciences,Z,6
49,10006841,NWES,The University of Bolton,10,Mathematical Sciences,Z,3
49,10006841,NWES,The University of Bolton,11,Computer Science and Informatics,Z,7
49,10006841,NWES,The University of Bolton,12,"Aeronautical, Mechanical, Chemical and Manufacturing Engineering",Z,10
49,10006841,NWES,The University of Bolton,13,"Electrical and Electronic Engineering, Metallurgy and Materials",Z,5
49,10006841,NWES,The University of Bolton,14,Civil and Construction engineering,Z,7
49,10006841,NWES,The University of Bolton,15,General Engineering,Z,17
49,10006841,NWES,The University of Bolton,16,"Architecture, Built Environment and Planning",Z,11
49,10006841,NWES,The University of Bolton,19,Business and Management Studies,Z,30
49,10006841,NWES,The University of Bolton,20,Law,Z,7
49,10006841,NWES,The University of Bolton,22,Social Work and Social Policy,Z,11
49,10006841,NWES,The University of Bolton,25,Education,Z,25
49,10006841,NWES,The University of Bolton,26,"Sport and Exercise Sciences, Leisure and Tourism",Z,12
49,10006841,NWES,The University of Bolton,29,English Language and Literature,Z,12
49,10006841,NWES,The University of Bolton,34,"Art and Design: History, Practice and Theory",Z,17
49,10006841,NWES,The University of Bolton,36,"Communication, Cultural and Media Studies, Library and Information Management",Z,30
197,10000385,SWES,The Arts University Bournemouth,34,"Art and Design: History, Practice and Theory",Z,96
50,10000824,SWES,Bournemouth University,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",Z,113
50,10000824,SWES,Bournemouth University,4,"Psychology, Psychiatry and Neuroscience",Z,23
50,10000824,SWES,Bournemouth University,5,Biological Sciences,Z,1
50,10000824,SWES,Bournemouth University,7,Earth Systems and Environmental Sciences,Z,5
50,10000824,SWES,Bournemouth University,11,Computer Science and Informatics,Z,18
50,10000824,SWES,Bournemouth University,13,"Electrical and Electronic Engineering, Metallurgy and Materials",Z,6
50,10000824,SWES,Bournemouth University,15,General Engineering,Z,36
50,10000824,SWES,Bournemouth University,17,"Geography, Environmental Studies and Archaeology",Z,38
50,10000824,SWES,Bournemouth University,18,Economics and Econometrics,Z,5
50,10000824,SWES,Bournemouth University,19,Business and Management Studies,Z,68
50,10000824,SWES,Bournemouth University,20,Law,Z,15
50,10000824,SWES,Bournemouth University,22,Social Work and Social Policy,Z,18
50,10000824,SWES,Bournemouth University,25,Education,Z,12
50,10000824,SWES,Bournemouth University,26,"Sport and Exercise Sciences, Leisure and Tourism",Z,74
50,10000824,SWES,Bournemouth University,29,English Language and Literature,Z,1
50,10000824,SWES,Bournemouth University,34,"Art and Design: History, Practice and Theory",Z,42
50,10000824,SWES,Bournemouth University,36,"Communication, Cultural and Media Studies, Library and Information Management",Z,81
111,10007785,YORH,The University of Bradford,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",Z,235
111,10007785,YORH,The University of Bradford,11,Computer Science and Informatics,Z,28
111,10007785,YORH,The University of Bradford,12,"Aeronautical, Mechanical, Chemical and Manufacturing Engineering",Z,59
111,10007785,YORH,The University of Bradford,13,"Electrical and Electronic Engineering, Metallurgy and Materials",Z,19
111,10007785,YORH,The University of Bradford,14,Civil and Construction engineering,Z,12
111,10007785,YORH,The University of Bradford,17,"Geography, Environmental Studies and Archaeology",Z,25
111,10007785,YORH,The University of Bradford,18,Economics and Econometrics,Z,7
111,10007785,YORH,The University of Bradford,19,Business and Management Studies,Z,58
111,10007785,YORH,The University of Bradford,20,Law,Z,10
111,10007785,YORH,The University of Bradford,21,Politics and International Studies,Z,38
111,10007785,YORH,The University of Bradford,22,Social Work and Social Policy,Z,37
111,10007785,YORH,The University of Bradford,25,Education,Z,9
111,10007785,YORH,The University of Bradford,36,"Communication, Cultural and Media Studies, Library and Information Management",Z,10
51,10000886,SEAS,The University of Brighton,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",Z,247
51,10000886,SEAS,The University of Brighton,4,"Psychology, Psychiatry and Neuroscience",Z,7
51,10000886,SEAS,The University of Brighton,5,Biological Sciences,Z,9
51,10000886,SEAS,The University of Brighton,7,Earth Systems and Environmental Sciences,Z,62
51,10000886,SEAS,The University of Brighton,11,Computer Science and Informatics,Z,47
51,10000886,SEAS,The University of Brighton,12,"Aeronautical, Mechanical, Chemical and Manufacturing Engineering",Z,31
51,10000886,SEAS,The University of Brighton,19,Business and Management Studies,Z,98
51,10000886,SEAS,The University of Brighton,22,Social Work and Social Policy,Z,64
51,10000886,SEAS,The University of Brighton,23,Sociology,Z,1
51,10000886,SEAS,The University of Brighton,25,Education,Z,95
51,10000886,SEAS,The University of Brighton,26,"Sport and Exercise Sciences, Leisure and Tourism",Z,81
51,10000886,SEAS,The University of Brighton,29,English Language and Literature,Z,1
51,10000886,SEAS,The University of Brighton,34,"Art and Design: History, Practice and Theory",Z,213
51,10000886,SEAS,The University of Brighton,36,"Communication, Cultural and Media Studies, Library and Information Management",Z,37
112,10007786,SWES,The University of Bristol,1,Clinical Medicine,Z,99
112,10007786,SWES,The University of Bristol,2,"Public Health, Health Services and Primary Care",Z,81
112,10007786,SWES,The University of Bristol,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",Z,19
112,10007786,SWES,The University of Bristol,4,"Psychology, Psychiatry and Neuroscience",Z,79
112,10007786,SWES,The University of Bristol,5,Biological Sciences,Z,69
112,10007786,SWES,The University of Bristol,6,"Agriculture, Veterinary and Food Science",Z,54
112,10007786,SWES,The University of Bristol,7,Earth Systems and Environmental Sciences,Z,45
112,10007786,SWES,The University of Bristol,8,Chemistry,Z,60
112,10007786,SWES,The University of Bristol,9,Physics,Z,44
112,10007786,SWES,The University of Bristol,10,Mathematical Sciences,Z,84
112,10007786,SWES,The University of Bristol,11,Computer Science and Informatics,Z,42
112,10007786,SWES,The University of Bristol,15,General Engineering,Z,133
112,10007786,SWES,The University of Bristol,17,"Geography, Environmental Studies and Archaeology",A,47
112,10007786,SWES,The University of Bristol,17,"Geography, Environmental Studies and Archaeology",B,10
112,10007786,SWES,The University of Bristol,18,Economics and Econometrics,Z,25
112,10007786,SWES,The University of Bristol,19,Business and Management Studies,Z,36
112,10007786,SWES,The University of Bristol,20,Law,Z,43
112,10007786,SWES,The University of Bristol,21,Politics and International Studies,Z,26
112,10007786,SWES,The University of Bristol,22,Social Work and Social Policy,Z,39
112,10007786,SWES,The University of Bristol,23,Sociology,Z,17
112,10007786,SWES,The University of Bristol,25,Education,Z,40
112,10007786,SWES,The University of Bristol,26,"Sport and Exercise Sciences, Leisure and Tourism",Z,7
112,10007786,SWES,The University of Bristol,28,Modern Languages and Linguistics,Z,36
112,10007786,SWES,The University of Bristol,29,English Language and Literature,Z,21
112,10007786,SWES,The University of Bristol,30,History,Z,19
112,10007786,SWES,The University of Bristol,31,Classics,Z,16
112,10007786,SWES,The University of Bristol,32,Philosophy,Z,17
112,10007786,SWES,The University of Bristol,33,Theology and Religious Studies,Z,8
112,10007786,SWES,The University of Bristol,34,"Art and Design: History, Practice and Theory",Z,8
112,10007786,SWES,The University of Bristol,35,"Music, Drama, Dance and Performing Arts",A,13
112,10007786,SWES,The University of Bristol,35,"Music, Drama, Dance and Performing Arts",B,9
113,10000961,LOND,Brunel University London,2,"Public Health, Health Services and Primary Care",Z,13
113,10000961,LOND,Brunel University London,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",Z,75
113,10000961,LOND,Brunel University London,4,"Psychology, Psychiatry and Neuroscience",Z,28
113,10000961,LOND,Brunel University London,7,Earth Systems and Environmental Sciences,Z,21
113,10000961,LOND,Brunel University London,10,Mathematical Sciences,Z,27
113,10000961,LOND,Brunel University London,11,Computer Science and Informatics,Z,40
113,10000961,LOND,Brunel University London,12,"Aeronautical, Mechanical, Chemical and Manufacturing Engineering",Z,72
113,10000961,LOND,Brunel University London,15,General Engineering,Z,73
113,10000961,LOND,Brunel University London,18,Economics and Econometrics,Z,29
113,10000961,LOND,Brunel University London,19,Business and Management Studies,Z,68
113,10000961,LOND,Brunel University London,20,Law,Z,32
113,10000961,LOND,Brunel University London,21,Politics and International Studies,Z,25
113,10000961,LOND,Brunel University London,22,Social Work and Social Policy,Z,22
113,10000961,LOND,Brunel University London,23,Sociology,Z,12
113,10000961,LOND,Brunel University London,24,Anthropology and Development Studies,Z,9
113,10000961,LOND,Brunel University London,25,Education,Z,20
113,10000961,LOND,Brunel University London,26,"Sport and Exercise Sciences, Leisure and Tourism",Z,33
113,10000961,LOND,Brunel University London,29,English Language and Literature,Z,24
113,10000961,LOND,Brunel University London,34,"Art and Design: History, Practice and Theory",Z,16
113,10000961,LOND,Brunel University London,35,"Music, Drama, Dance and Performing Arts",Z,21
113,10000961,LOND,Brunel University London,36,"Communication, Cultural and Media Studies, Library and Information Management",Z,19
113,10000961,LOND,Brunel University London,N/A,UoA not recorded,Not recorded,1
9,10000975,SEAS,Buckinghamshire New University,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",Z,75
9,10000975,SEAS,Buckinghamshire New University,4,"Psychology, Psychiatry and Neuroscience",Z,10
9,10000975,SEAS,Buckinghamshire New University,11,Computer Science and Informatics,Z,9
9,10000975,SEAS,Buckinghamshire New University,19,Business and Management Studies,Z,25
9,10000975,SEAS,Buckinghamshire New University,20,Law,Z,6
9,10000975,SEAS,Buckinghamshire New University,22,Social Work and Social Policy,Z,25
9,10000975,SEAS,Buckinghamshire New University,25,Education,Z,15
9,10000975,SEAS,Buckinghamshire New University,26,"Sport and Exercise Sciences, Leisure and Tourism",Z,25
9,10000975,SEAS,Buckinghamshire New University,34,"Art and Design: History, Practice and Theory",Z,44
9,10000975,SEAS,Buckinghamshire New University,35,"Music, Drama, Dance and Performing Arts",Z,21
9,10000975,SEAS,Buckinghamshire New University,36,"Communication, Cultural and Media Studies, Library and Information Management",Z,18
114,10007788,EAST,The University of Cambridge,1,Clinical Medicine,Z,250
114,10007788,EAST,The University of Cambridge,2,"Public Health, Health Services and Primary Care",Z,72
114,10007788,EAST,The University of Cambridge,4,"Psychology, Psychiatry and Neuroscience",Z,92
114,10007788,EAST,The University of Cambridge,5,Biological Sciences,Z,230
114,10007788,EAST,The University of Cambridge,6,"Agriculture, Veterinary and Food Science",Z,49
114,10007788,EAST,The University of Cambridge,7,Earth Systems and Environmental Sciences,Z,34
114,10007788,EAST,The University of Cambridge,8,Chemistry,Z,58
114,10007788,EAST,The University of Cambridge,9,Physics,Z,140
114,10007788,EAST,The University of Cambridge,10,Mathematical Sciences,Z,134
114,10007788,EAST,The University of Cambridge,11,Computer Science and Informatics,Z,59
114,10007788,EAST,The University of Cambridge,12,"Aeronautical, Mechanical, Chemical and Manufacturing Engineering",Z,31
114,10007788,EAST,The University of Cambridge,13,"Electrical and Electronic Engineering, Metallurgy and Materials",Z,32
114,10007788,EAST,The University of Cambridge,15,General Engineering,Z,175
114,10007788,EAST,The University of Cambridge,16,"Architecture, Built Environment and Planning",Z,50
114,10007788,EAST,The University of Cambridge,17,"Geography, Environmental Studies and Archaeology",A,44
114,10007788,EAST,The University of Cambridge,17,"Geography, Environmental Studies and Archaeology",B,42
114,10007788,EAST,The University of Cambridge,18,Economics and Econometrics,Z,38
114,10007788,EAST,The University of Cambridge,19,Business and Management Studies,Z,52
114,10007788,EAST,The University of Cambridge,20,Law,Z,75
114,10007788,EAST,The University of Cambridge,21,Politics and International Studies,Z,35
114,10007788,EAST,The University of Cambridge,23,Sociology,Z,17
114,10007788,EAST,The University of Cambridge,24,Anthropology and Development Studies,Z,40
114,10007788,EAST,The University of Cambridge,25,Education,Z,58
114,10007788,EAST,The University of Cambridge,27,Area Studies,Z,30
114,10007788,EAST,The University of Cambridge,28,Modern Languages and Linguistics,Z,91
114,10007788,EAST,The University of Cambridge,29,English Language and Literature,Z,50
114,10007788,EAST,The University of Cambridge,30,History,Z,87
114,10007788,EAST,The University of Cambridge,31,Classics,Z,33
114,10007788,EAST,The University of Cambridge,32,Philosophy,A,17
114,10007788,EAST,The University of Cambridge,32,Philosophy,B,34
114,10007788,EAST,The University of Cambridge,33,Theology and Religious Studies,Z,27
114,10007788,EAST,The University of Cambridge,34,"Art and Design: History, Practice and Theory",Z,1
114,10007788,EAST,The University of Cambridge,35,"Music, Drama, Dance and Performing Arts",Z,19
188,10003324,LOND,The Institute of Cancer Research,1,Clinical Medicine,Z,74
188,10003324,LOND,The Institute of Cancer Research,5,Biological Sciences,Z,34
12,10001143,SEAS,Canterbury Christ Church University,2,"Public Health, Health Services and Primary Care",Z,18
12,10001143,SEAS,Canterbury Christ Church University,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",Z,134
12,10001143,SEAS,Canterbury Christ Church University,4,"Psychology, Psychiatry and Neuroscience",Z,15
12,10001143,SEAS,Canterbury Christ Church University,5,Biological Sciences,Z,1
12,10001143,SEAS,Canterbury Christ Church University,6,"Agriculture, Veterinary and Food Science",Z,13
12,10001143,SEAS,Canterbury Christ Church University,9,Physics,Z,1
12,10001143,SEAS,Canterbury Christ Church University,11,Computer Science and Informatics,Z,9
12,10001143,SEAS,Canterbury Christ Church University,17,"Geography, Environmental Studies and Archaeology",Z,6
12,10001143,SEAS,Canterbury Christ Church University,19,Business and Management Studies,Z,43
12,10001143,SEAS,Canterbury Christ Church University,20,Law,Z,24
12,10001143,SEAS,Canterbury Christ Church University,21,Politics and International Studies,Z,21
12,10001143,SEAS,Canterbury Christ Church University,22,Social Work and Social Policy,Z,1
12,10001143,SEAS,Canterbury Christ Church University,23,Sociology,Z,4
12,10001143,SEAS,Canterbury Christ Church University,25,Education,Z,168
12,10001143,SEAS,Canterbury Christ Church University,26,"Sport and Exercise Sciences, Leisure and Tourism",Z,26
12,10001143,SEAS,Canterbury Christ Church University,28,Modern Languages and Linguistics,Z,1
12,10001143,SEAS,Canterbury Christ Church University,29,English Language and Literature,Z,27
12,10001143,SEAS,Canterbury Christ Church University,30,History,Z,20
12,10001143,SEAS,Canterbury Christ Church University,33,Theology and Religious Studies,Z,8
12,10001143,SEAS,Canterbury Christ Church University,34,"Art and Design: History, Practice and Theory",Z,4
12,10001143,SEAS,Canterbury Christ Church University,35,"Music, Drama, Dance and Performing Arts",Z,22
12,10001143,SEAS,Canterbury Christ Church University,36,"Communication, Cultural and Media Studies, Library and Information Management",Z,30
53,10007141,NWES,The University of Central Lancashire,1,Clinical Medicine,Z,2
53,10007141,NWES,The University of Central Lancashire,2,"Public Health, Health Services and Primary Care",Z,70
53,10007141,NWES,The University of Central Lancashire,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",Z,161
53,10007141,NWES,The University of Central Lancashire,4,"Psychology, Psychiatry and Neuroscience",Z,39
53,10007141,NWES,The University of Central Lancashire,5,Biological Sciences,Z,34
53,10007141,NWES,The University of Central Lancashire,7,Earth Systems and Environmental Sciences,Z,7
53,10007141,NWES,The University of Central Lancashire,8,Chemistry,Z,14
53,10007141,NWES,The University of Central Lancashire,9,Physics,Z,25
53,10007141,NWES,The University of Central Lancashire,10,Mathematical Sciences,Z,13
